A new study created in memory with name: no-name-be921633-0fb6-4f36-a996-1d322f6154d2
From /home/latlab/anaconda3/envs/tf-gpu/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:1813: calling BaseResourceVariable.__init__ (from tensorflow.python.ops.resource_variable_ops) with constraint is deprecated and will be removed in a future version.
Instructions for updating:
If using Keras pass *_constraint arguments to layers.
Trial 0 finished with value: 0.34058601409196854 and parameters: {'batch_size': 256, 'filters': 7, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 0 with value: 0.34058601409196854.
Trial 1 finished with value: 0.5751235634088516 and parameters: {'batch_size': 256, 'filters': 3, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 1 with value: 0.5751235634088516.
Trial 2 finished with value: 0.35434623062610626 and parameters: {'batch_size': 256, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 1 with value: 0.5751235634088516.
Trial 3 finished with value: 0.34858839213848114 and parameters: {'batch_size': 128, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 1 with value: 0.5751235634088516.
Trial 4 finished with value: 0.9448192715644836 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 5 finished with value: 0.40241821110248566 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 4, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 6 finished with value: 0.6253211945295334 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'swish', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 7 finished with value: 0.3884315490722656 and parameters: {'batch_size': 256, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 8 finished with value: 0.3544463515281677 and parameters: {'batch_size': 256, 'filters': 4, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'sigmoid', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 9 finished with value: 0.5083242058753967 and parameters: {'batch_size': 256, 'filters': 8, 'kernel_size': 3, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 10 finished with value: 0.435622438788414 and parameters: {'batch_size': 128, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 11 finished with value: 0.48198582231998444 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 12 finished with value: 0.9379779100418091 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
